이름,종류,위도,경도,도로명주소,전화번호,휴무,영업시간
21세기맑은약국,동물약국,37.50788819,126.732054,인천광역시 부평구 길주로 623,323632201,매주 일요일,월~토 10:00~21:00
21세기새롬약국,동물약국,37.63522599,126.831888,경기도 고양시 덕양구 화정로 53,319654677,연중무휴,"월~금 09:00~21:00, 토 09:00~18:00, 일, 법정공휴일 09:00~21:00"
21세기약국,동물약국,37.46054362,126.733548,인천광역시 남동구 만수로 47,324683737,연중무휴,"월~금 08:30~20:00, 토 08:30~15:00, 일 10:00~20:00, 법정공휴일 10:00~20:00"
21세기약국,동물약국,37.88022669,127.750636,강원도 춘천시 보안길 64-1,332550990,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~13:00"
21세기약국,동물약국,36.11678861,128.339361,경상북도 구미시 송정대로 5,544522121,연중무휴,"월~금 09:00~23:30, 토 09:00~23:30, 일 10:30~23:30, 법정공휴일 09:00~23:30"
21세기약국,동물약국,35.21170799,129.07748,부산광역시 동래구 중앙대로 1393,516682751,연중무휴,"월~토 09:00~21:00, 일 11:00~21:00"
21세기약국,동물약국,35.13364608,126.87483,광주광역시 서구 금화로 240,626528825,연중무휴,"월~금 10:00~22:00, 토 10:00~22:00, 일 10:00~22:00, 법정공휴일 10:00~22:00"
21세기종합동물병원,동물병원,35.8859379,128.636764,대구광역시 동구 아양로 216,539590121,,
21세기종합동물병원,동물병원,35.21075927,129.008783,부산광역시 북구 만덕대로 34,513650075,연중무휴,"월~금 9:00~20:00, 토~일 9:00~18:00"
21세기종합약국,동물약국,35.83802026,127.132838,전라북도 전주시 덕진구 기린대로 400-8,632744949,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~19:00"
21C 세계로약국,동물약국,37.54204619,126.840751,서울특별시 강서구 화곡로 173,226070624,연중무휴,"월~금 08:30~20:30, 토, 법정공휴일 08:30~20:00, 일 09:30~19:00"
21c청학보건당,동물약국,37.7086949,127.118397,경기도 남양주시 별내면 청학로중앙길 9,318211653,연중무휴,월~일 법정공휴일 09:00~22:00
228약국,동물약국,35.87018992,128.596901,대구광역시 중구 동성로2길 95,534222228,매주 일요일,"월~금 09:00~20:30, 토 09:00~17:00"
22세기 약국,동물약국,35.85901475,128.624455,대구광역시 수성구 달구벌대로 지하 2396,537416467,"매주 일요일, 법정공휴일","월~금 08:30~20:30, 토 09:00~19:00"
22세기 약국,동물약국,34.93990631,127.508761,전라남도 순천시 팔마로 222,537416467,매주 일요일,"월~금 08:00~20:00, 토 09:00~19:00"
24시 강서 젠틀리동물의료센터,동물병원,37.55904001,126.820063,서울특별시 강서구 마곡중앙1로 72,226628111,연중무휴,매일 00:00~24:00
24시 건국 본 동물병원,동물병원,37.44824636,126.679984,인천광역시 미추홀구 인하로 287,328640075,연중무휴,매일 00:00~24:00
24시 굿케어동물의료센터,동물병원,37.48000009,126.956867,서울특별시 관악구 남부순환로 1861,269562475,연중무휴,매일 00:00~24:00
24시 글로리 동물병원,동물병원,37.47674386,126.898256,서울특별시 금천구 시흥대로 483,28558575,연중무휴,매일 00:00~24:00
24시 당신의 동물의료센터,동물병원,37.30062503,126.983998,경기도 수원시 장안구 천천로 100,312686575,연중무휴,매일 00:00~24:00
24시 더나은 동물메디컬 센터,동물병원,34.88298876,128.625276,경상남도 거제시 동문천로 47,557161175,연중무휴,"월~토 10:00~21:00, 일 11:00~21:00"
24시 더블유 동물의료센터,동물병원,37.53238773,126.647045,인천광역시 서구 청라커낼로260번길 27,325658270,연중무휴,매일 10:00~21:00
24시 더원 동물병원,동물병원,37.59299096,126.712012,인천광역시 서구 발산로 41,325696677,연중무휴,매일 00:00~24:00
24시 더케어 동물의료센터,동물병원,37.60332974,127.147316,경기도 구리시 경춘로 294,315168585,연중무휴,매일 00:00~24:00
24시 동물응급의료센터,동물병원,37.59532179,127.079577,서울특별시 중랑구 망우로 247,24947582,연중무휴,매일 00:00~24:00
24시 동탄 이음동물의료센터,동물병원,37.16873878,127.108433,경기도 화성시 동탄대로6길 15,318313513,연중무휴,매일 00:00~24:00
24시 라움동물의료센터,동물병원,36.99887465,127.114167,경기도 평택시 비전5로 20-24,316925022,연중무휴,매일 00:00~24:00
24시 라인동물의료센터,동물병원,37.65267981,126.896113,경기도 고양시 덕양구 동송로 70,23812475,연중무휴,매일 00:00~24:00
24시 리본동물의료센터,동물병원,35.20291604,129.080986,부산광역시 동래구 충렬대로 194,517110006,매주 일요일,"월~금 09:30~19:00, 토 09:30~19:00"
24시 멍냥마켓 파장점,반려동물용품,37.30752086,126.991039,경기도 수원시 장안구 파장로 96,,연중무휴,매일 00:00~24:00
24시 명동물메디컬센터,동물병원,37.50156787,126.847162,서울특별시 구로구 남부순환로 775,226195102,연중무휴,매일 00:00~24:00
24시 모두의동물병원,동물병원,37.4616896,126.880189,경기도 광명시 하안로 289,269512475,연중무휴,매일 00:00~24:00
24시 모란동물 메디컬센터,동물병원,37.39940493,127.273675,경기도 광주시 경충대로 1448,317651100,연중무휴,매일 00:00~24:00
24시 무인 애완용품 펫싸롱 4호점,반려동물용품,37.75328223,127.043409,경기도 의정부시 평화로 689,318482711,연중무휴,매일 00:00~24:00
24시 무인 애완용품 펫싸롱 의정부점,반려동물용품,37.74353429,127.035937,경기도 의정부시 호국로 1187-2,318552710,연중무휴,매일 00:00~24:00
24시 블레스동물메디컬센터,동물병원,37.26968181,127.152921,경기도 용인시 기흥구 동백3로11번길 9,315460942,연중무휴,매일 00:00~24:00
24시 블루밍 동물병원,동물병원,35.17331179,126.876256,광주광역시 북구 대자로 36,624167975,연중무휴,매일 08:00~24:00
24시 사람앤동물메디컬센터,동물병원,37.31268393,127.079742,경기도 용인시 수지구 수지로 124,312620306,연중무휴,매일 00:00~24:00
24시 산들산들 동물병원,동물병원,37.55097463,126.956497,서울특별시 마포구 마포대로16길 7,23933588,연중무휴,"월~금 10:00~24:00, 토~일 10:00~20:00"
24시 서울 탑 동물병원,동물병원,37.51774297,126.853643,서울특별시 양천구 중앙로 237,226018875,연중무휴,매일 09:00~21:00
24시 서울YES동물병원,동물병원,37.33174883,127.118347,경기도 용인시 수지구 현암로 81,312721313,연중무휴,매일 00:00~24:00
24시 성심동물메디컬센터,동물병원,36.35306883,127.345317,대전광역시 유성구 계룡로 131,427197566,연중무휴,매일 00:00~24:00
24시 센텀동물메디컬센터 연산점,동물병원,35.18442734,129.080855,부산광역시 연제구 중앙대로 1084,517118253,연중무휴,매일 00:00~24:00
24시 소래동물병원,동물병원,37.40010792,126.733313,인천광역시 남동구 소래역남로16번길 75,324383227,연중무휴,매일 00:00~24:00
24시 송도힐 동물메디컬센터,동물병원,37.39661133,126.651897,인천광역시 연수구 컨벤시아대로 55,328347275,연중무휴,매일 00:00~24:00
24시 숨 동물병원,동물병원,37.25872973,127.029633,경기도 수원시 권선구 권선로 715,315482475,연중무휴,매일 00:00~24:00
24시 스마트동물병원,동물병원,37.52069647,127.029989,서울특별시 강남구 도산대로 213,25490275,연중무휴,매일 00:00~24:00
24시 시유동물메디컬센터,동물병원,37.52000492,126.969872,서울특별시 용산구 이촌로64길 24,27930075,연중무휴,매일 00:00~24:00
24시 신도림S동물의료센터,동물병원,37.50688385,126.884037,서울특별시 구로구 경인로 619-3,269493575,연중무휴,매일 00:00~24:00
24시 쓰담쓰담 동물메디컬 센터,동물병원,37.27125211,127.107475,경기도 용인시 기흥구 중부대로 364,315484480,연중무휴,매일 00:00~24:00
24시 아이동물메디컬센터,동물병원,37.52567419,126.804557,경기도 부천시 소사로 779,326775262,연중무휴,매일 00:00~24:00
24시 아프리카동물병원,동물병원,37.30174884,126.81352,경기도 안산시 단원구 원포공원2로 35,314867533,연중무휴,매일 00:00~24:00
24시 안박동물병원,동물병원,37.56011704,126.856339,서울특별시 강서구 양천로 510,236647511,매주 일요일,월~토 10:00~19:00
24시 애견미용,미용,37.48254755,126.788203,경기도 부천시 경인로 294,,연중무휴,
24시 애니동물병원,동물병원,37.58399292,127.019824,서울특별시 성북구 보문로 99,29268275,연중무휴,매일 00:00~24:00
24시 양주 힐 동물의료센터,동물병원,37.82121755,127.097614,경기도 양주시 옥정동로7길 30,318598275,연중무휴,매일 00:00~24:00
24시 언제나 동물병원,동물병원,35.18788739,126.890426,광주광역시 북구 하백로5번길 1,625710011,매주 일요일,"월~금 09:00~19:00, 토 09:00~17:00"
24시 오케이 동물병원,동물병원,37.41511724,126.618222,인천광역시 연수구 랜드마크로 68,328327975,연중무휴,매일 09:00~22:00
24시 온누리동물메디컬센터,동물병원,37.31915777,126.829878,경기도 안산시 단원구 광덕대로 251,314877500,연중무휴,매일 00:00~24:00
24시 와이즈 동물메디컬센터,동물병원,37.55205316,127.20862,경기도 하남시 덕풍동로 111-50,317918253,연중무휴,매일 00:00~24:00
24시 웰니스 동물 의료센터,동물병원,37.49734229,126.775962,경기도 부천시 부흥로303번길 62,322017575,연중무휴,매일 00:00~24:00
24시 위드유 동물의료센터,동물병원,37.4365607,126.801609,경기도 시흥시 은계번영길 1,50713534975,연중무휴,매일 00:00~24:00
24시 위드힐동물메디컬센터,동물병원,37.65823066,127.125068,경기도 남양주시 두물로11번길 42,315233256,연중무휴,매일 00:00~24:00
24시 이지동물의료센터,동물병원,37.48483404,126.808916,경기도 부천시 부일로 712,323487975,연중무휴,매일 00:00~24:00
24시 인천동물병원 치료해주오,동물병원,37.40145862,126.7104,인천광역시 남동구 논현로46번길 22,50713721432,연중무휴,매일 10:00~19:00
24시 일산우리 동물의료센터,동물병원,37.67090741,126.75853,경기도 고양시 일산서구 중앙로 1455,319135550,연중무휴,매일 00:00~24:00
24시 좋은나라애견본부 고양점,반려동물용품,37.63636322,126.815095,경기도 고양시 덕양구 대주로 103-10,,연중무휴,매일 00:00~24:00
24시 지구촌 동물메디컬 센터,동물병원,37.49878906,126.884786,서울특별시 구로구 구로중앙로31길 30,28697582,연중무휴,매일 00:00~24:00
24시 청담우리 동물병원,동물병원,37.51449135,127.052853,서울특별시 강남구 삼성로 614,25417515,연중무휴,매일 00:00~24:00
24시 청주 고려동물메디컬센터,동물병원,36.63525381,127.475885,충청북도 청주시 서원구 사직대로 256,50713425678,연중무휴,매일 00:00~24:00
24시 청주이음동물의료센터,동물병원,36.63534918,127.423066,충청북도 청주시 흥덕구 2순환로 1112,437153133,연중무휴,매일 00:00~24:00
24시 팔용feel동물병원,동물병원,35.2521585,128.619969,경상남도 창원시 의창구 평산로 102,552551275,"매주 일요일, 5월 5일, 6월 6일, 크리스마스","월~금 10:00~19:30, 토 10:00~17:30, 법정공휴일 10:00~17:00"
24시 폴 동물병원,동물병원,37.37056133,127.107512,경기도 성남시 분당구 성남대로 385,317177558,연중무휴,매일 00:00~24:00
24시 휴동물의료센터,동물병원,35.16170934,129.062901,부산광역시 부산진구 동성로 152,518196061,연중무휴,매일 00:00~24:00
24시 SNC 동물메디컬센터,동물병원,37.4974084,127.038878,서울특별시 강남구 논현로 416,25627582,연중무휴,매일 00:00~24:00
24시간 대전동물메디컬센터 숲,동물병원,36.35922621,127.352719,대전광역시 유성구 한밭대로492번길 16-8,428267584,연중무휴,매일 00:00~24:00
24시꿈동물병원,동물병원,37.26324679,127.024704,경기도 수원시 권선구 경수대로 411,312227617,연중무휴,매일 00:00~24:00
24시노아동물메디컬센터,동물병원,35.15679978,126.913133,광주광역시 동구 독립로 292,622220075,연중무휴,매일 00:00~24:00
24시더나은동물메디컬센터,반려동물용품,34.88298876,128.625276,경상남도 거제시 동문천로 47,557161175,연중무휴,매일 00:00~24:00
24시도안동물메디컬센터,동물병원,36.30523673,127.351851,대전광역시 서구 계백로 1159,427101502,연중무휴,매일 00:00~24:00
24시동물병원,동물병원,37.27910195,127.111018,경기도 용인시 기흥구 구갈로 53,312817585,연중무휴,"월~금 09:00~22:30, 토 09:00~20:30, 일 10:00~18:30"
24시동물병원,동물병원,33.49271794,126.530033,제주특별자치도 제주시 연삼로 353,647022475,"매주 토, 일",월~금 09:00~19:00
24시동탄윌동물의료센터,동물병원,37.20232544,127.071583,경기도 화성시 동탄반석로 156,318313531,연중무휴,매일 00:00~24:00
24시똑똑똑 동물메디컬센터,동물병원,33.49301685,126.490745,제주특별자치도 제주시 도령로 129,647497585,연중무휴,매일 00:00~24:00
24시똑똑똑동물메디컬센터,동물병원,33.49301685,126.490745,제주특별자치도 제주시 도령로 129,647497585,연중무휴,매일 00:00~24:00
24시루시드동물메디컬센터,동물병원,37.60958992,127.030683,서울특별시 강북구 월계로 3,29417900,연중무휴,매일 00:00~24:00
24시마음든든동물병원,동물병원,37.41843093,126.911907,경기도 안양시 만안구 경수대로 1234,314742475,연중무휴,매일 09:30~22:00
24시멍냥마켓,반려동물용품,37.27619912,126.939918,경기도 수원시 권선구 서수원로577번길 305,50714070729,연중무휴,매일 00:00~24:00
24시멍냥마켓 매탄점,반려동물용품,37.2737207,127.046493,경기도 수원시 영통구 중부대로 282,50713225077,연중무휴,매일 00:00~24:00
24시배곧스마트동물의료센터,동물병원,37.37026025,126.729386,경기도 시흥시 배곧3로 86,314321224,연중무휴,매일 00:00~24:00
24시보듬동물병원,동물병원,37.75320476,128.894037,강원도 강릉시 경강로 2070,336557975,연중무휴,매일 09:00~24:00
24시분당리더스동물의료원,동물병원,37.34005352,127.108398,경기도 성남시 분당구 성남대로 45,317118275,연중무휴,매일 00:00~24:00
24시새벽약국,동물약국,35.19604125,126.820273,광주광역시 광산구 장덕로95번길 16,50713954500,연중무휴,매일 14:00~02:00
24시센트럴동물메디컬센터,동물병원,37.5586754,127.033737,서울특별시 성동구 고산자로 207,233957975,연중무휴,매일 00:00~24:00
24시스마일동물병원,동물병원,37.27321474,127.453037,경기도 이천시 구만리로 177,316337582,연중무휴,매일 00:00~24:00
24시스마트동물메디컬센터,동물병원,37.59978536,126.918127,서울특별시 은평구 은평로 93,23877582,연중무휴,매일 00:00~24:00
24시쎈텀동물병원,동물병원,37.59384607,126.763954,경기도 김포시 고촌읍 수기로 109,319928275,연중무휴,매일 00:00~24:00
24시아프리카동물메디컬센터,동물병원,37.55820284,126.844923,서울특별시 강서구 공항대로 335,236657975,연중무휴,매일 00:00~24:00
24시알파동물메디컬센터,동물병원,35.85921474,128.556462,대구광역시 서구 서대구광역시로 15,535727585,연중무휴,매일 00:00~24:00
24시약국,동물약국,34.85760248,128.429403,경상남도 통영시 안개로 9,556424006,법정공휴일,"월~토 08:30~24:00, 일 14:00~24:00"
24시연동물의료센터,동물병원,37.54293761,126.842277,서울특별시 강서구 화곡로 191,50713267553,연중무휴,매일 00:00~24:00
24시예담동물의료센터,동물병원,37.60958089,126.916793,서울특별시 은평구 연서로 122,269527519,연중무휴,매일 00:00~24:00
24시예스동물병원,동물병원,37.5071157,127.009873,서울특별시 서초구 잠원로 24,25343475,연중무휴,"월~금 10:50~19:30, 토, 법정공휴일 11:00~18:00"
24시위드동물병원,동물병원,37.34496709,126.738508,경기도 시흥시 정왕대로 230,314888075,매주 일요일,"월~금 10:00~19:00, 토 10:00~16:00"
24시잠실ON동물의료센터,동물병원,37.51156036,127.079181,서울특별시 송파구 올림픽로 76,24180724,연중무휴,매일 00:00~24:00
24시지구촌동물메디컬센터,동물병원,37.49878906,126.884786,서울특별시 구로구 구로중앙로31길 30,28697582,연중무휴,매일 09:00~23:00
24시청주i동물병원,동물병원,36.6658687,127.493092,충청북도 청주시 청원구 충청대로 103,432149975,연중무휴,매일 09:00~24:00
24시큰사랑동물병원,동물병원,37.27531606,127.449676,경기도 이천시 중리천로 135,3180113690,연중무휴,매일 00:00~24:00
24시프라임동물병원,동물병원,35.81030584,128.515298,대구광역시 달서구 비슬로 2746,536319966,연중무휴,"월~수, 금 09:00~02:00, 목 09:00~22:00, 토 09:00~24:00, 일 09:00~19:00"
24시해든동물메디컬센터,동물병원,37.50126977,126.777251,경기도 부천시 신흥로 190,327157579,연중무휴,매일 00:00~24:00
24시OK동물병원,동물병원,37.49556174,127.049817,서울특별시 강남구 도곡로51길 4,25697582,연중무휴,매일 09:00~21:00
24시SD동물영상의료센터,동물병원,37.56478,127.02471,서울특별시 중구 왕십리로 407,220390303,연중무휴,매일 00:00~24:00
25세 동물병원,동물병원,36.00078986,128.408532,경상북도 칠곡군 왜관읍 석전로7길 1,549740975,매주 일요일,"월~금 09:00~19:00, 토 09:00~14:00"
25시 동물병원,동물병원,37.45604359,127.162964,경기도 성남시 중원구 산성대로504번길 1,317310025,매주 일요일,"월~금 09:00~19:30, 토 09:00~17:00"
25시 동물병원,동물병원,35.13651461,129.071421,부산광역시 남구 수영로 34,516350402,매주 일요일,"월~금 09:30~19:00, 토 09:30~17:00"
25시 종합동물병원,동물병원,37.149027,127.072204,경기도 오산시 성호대로 97,313781114,매주 일요일,"월~금 09:00~19:00, 토 09:00~15:00"
25시 죽곡동물병원,동물병원,35.85497058,128.464009,대구광역시 달성군 다사읍 대실역남로 34,535878765,매주 일요일,"월~금 10:00~19:00, 화, 목 11:00~19:00, 토 10:00~19:00"
25시동물병원,동물병원,37.64777726,127.077579,서울특별시 노원구 한글비석로8길 16,29350075,"매주 토, 일",월~금 10:00~20:00
25시동물의료센터,동물병원,37.50553777,127.089412,서울특별시 송파구 삼전로 80,24191351,연중무휴,매일 00:00~24:00
25시종합동물병원,동물병원,35.8248221,128.546844,대구광역시 달서구 월배로 330-1,536511101,연중무휴,"월,수~목~토 09:00~19:00, 화 09:00~20:00, 법정공휴일 09:00~18:00"
2층스타약국,동물약국,37.63528107,126.917656,서울특별시 은평구 통일로 1034,23578889,매주 일요일,"수 09:00~21:00, 목 09:00~19:00, 금 09:00~19:00, 토 09:00~15:00,, 월 09:00~19:00, 화 09:00~19:00,"
2층약국,동물약국,37.36226346,126.962527,경기도 안양시 동안구 경수대로 428,314271350,"매주 토, 일, 법정공휴일",월~금 09:00~18:00
2층엔약국,동물약국,37.62549445,127.152105,경기도 남양주시 다산중앙로123번길 22-30,315658875,"매주 일요일, 법정공휴일","월~금 09:00~18:00, 토 09:00~13:00"
2층은약국,동물약국,37.50975909,126.963859,서울특별시 동작구 현충로 75,264848248,"매주 일요일, 법정공휴일","월, 수 09:15~19:00, 화, 목 09:15~21:00, 금 09:15~20:30, 토 09:15~15:00"
2층종로약국,동물약국,37.61962267,126.921523,서울특별시 은평구 통일로 856,50714385603,"매주 일요일, 법정공휴일","월~금 09:00~20:00, 토 09:00~14:00"
2층푸른약국,동물약국,37.63626695,126.870344,경기도 고양시 덕양구 권율대로 512,319693545,"매주 토, 일",월~금 08:30~18:30
2층하늘약국,동물약국,37.57014164,126.903832,서울특별시 마포구 월드컵북로 230,23034290,"매주 일요일, 법정공휴일","월~금 09:30~18:30, 토 09:30~14:00"
2층하늘약국,동물약국,35.31722616,128.585285,경상남도 창원시 의창구 북면 동곡로 9,552947277,"매주 일요일, 법정공휴일","월~금 10:00~18:00, 토 10:00~15:00"
2Cats,카페,37.57182943,126.986787,서울특별시 종로구 인사동길 11,27227833,연중무휴,매일 11:00~21:00
306퍼피,반려동물용품,35.14484286,126.838331,광주광역시 서구 마륵로 59,50713351306,매주 일요일,월~토 10:00~20:00
315아트센터,문예회관,35.22581853,128.577106,경상남도 창원시 마산회원구 삼호로 135,557197800,전시공연에 따라 변동,전시공연에 따라 변동
331멍발소,미용,37.5850119,127.041494,서울특별시 동대문구 제기로20길 34-1,50713903310,연중무휴,매일 10:00~20:00
365 건강약국,동물약국,37.5447422,126.738065,인천광역시 계양구 장제로 867,325551801,연중무휴,"월~금, 일 09:00~13:00, 토 09:00~16:00, 법정공휴일 09:00~18:00"
365 녹십자약국,동물약국,36.99540937,127.083523,경기도 평택시 중앙로 2,316523307,연중무휴,"월~금 22:00~25:00, 토 22:00~25:00, 일 22:00~25:00, 법정공휴일 22:00~25:00"
365 마음동물병원,동물병원,37.49627786,126.829996,서울특별시 구로구 오리로 1286,226115223,연중무휴,매일 10:00~20:00
365 신원당 동물병원,동물병원,37.65444911,126.840398,경기도 고양시 덕양구 호국로790번길 88,319630075,연중무휴,매일 10:00~20:00
365 우리약국,동물약국,35.02157165,126.785385,전라남도 나주시 전력로 2,613338228,연중무휴,"월~토 08:00~22:30, 일 09:00~22:30"
365 종로약국,동물약국,37.57028867,127.057409,서울특별시 동대문구 전농로 60-1,50713538704,연중무휴,매일 08:00~23:00
365건강온누리약국,동물약국,33.50073528,126.528208,제주특별자치도 제주시 서광로 297,647553157,매주 일요일,"월~금 09:00~21:00, 토 09:00~21:00, 법정공휴일 09:00~21:00"
365구생약국,동물약국,37.6112522,126.928734,서울특별시 은평구 통일로 739,23531144,연중무휴,"월~금 09:00~22:00, 토 09:00~22:00, 일 10:00~22:00, 법정공휴일 10:00~22:00"
365굿모닝약국,동물약국,37.47404179,126.869691,경기도 광명시 디지털로 19,,연중무휴,"월~금 09:00~22:00, 일, 법정공휴일 10:00~21:30"
365그린약국,동물약국,37.53152152,126.846532,서울특별시 강서구 강서로 43,26538070,매주 일요일,"월~금 09:00~21:00, 토 09:00~17:00"
365그린약국,동물약국,37.35076234,127.108309,경기도 성남시 분당구 성남대로 165,317172267,연중무휴,"월~금 09:00~22:00, 토~일 09:00~22:00, 법정공휴일 09:00~22:00"
365동물병원,동물병원,37.66297575,127.046351,서울특별시 도봉구 방학로 54,264020365,연중무휴,"월~금 09:30~20:00, 토 09:30~19:00, 일, 법정공휴일 09:30~17:00"
365동물병원 분당점,동물병원,37.34894044,127.110467,경기도 성남시 분당구 미금일로90번길 32,317180365,매주 일요일,"월~화 10:00~18:00, 수 10:00~16:30, 목~금 10:00~18:00, 토 10:00~16:30"
365동물병원위례점,동물병원,37.47349797,127.150174,경기도 성남시 수정구 위례동로 153,50714490366,연중무휴,"월~토 10:00~19:00, 일 10:00~18:00"
365동판교동물병원,동물병원,37.38547568,127.111442,경기도 성남시 분당구 판교역로14번길 20,317817582,연중무휴,"월~금 10:00~19:00, 토~일 10:00~19:00, 법정공휴일 10:00~17:00"
365드림동물약국,동물약국,37.65407418,127.2429,경기도 남양주시 늘을1로16번길 25,315943652,매주 일요일,"월~금 09:00~21:00, 토 09:00~17:00"
365라피에스타약국,동물약국,37.39753735,126.72752,인천광역시 남동구 논고개로 61,322557000,연중무휴,"월~금 08:30~22:00, 토~일, 법정공휴일 09:00~22:00"
365마트약국,동물약국,37.52781676,126.904683,서울특별시 영등포구 영중로 125,226334865,연중무휴,매일 10:00~22:00
365매일약국,동물약국,35.31631644,129.003786,경상남도 양산시 물금읍 백호로 92,553835613,연중무휴,"월~금 09:00~21:00, 토 09:00~21:00, 일 09:00~21:00, 법정공휴일 09:00~21:00"
365문화전당약국,동물약국,35.14660282,126.918519,광주광역시 동구 서석로 46,50714828818,연중무휴,매일 11:00~22:00
365미소약국,동물약국,37.63946305,126.918268,서울특별시 은평구 진관3로 11,264718488,연중무휴,"매일 09:00~21:00,"
365박달온누리약국,동물약국,37.40276547,126.910619,경기도 안양시 만안구 양화로 112,314653512,연중무휴,"월~금 08:00~22:00, 토 08:00~22:00, 일 09:00~19:00, 법정공휴일 09:00~19:00"
365밝은약국,동물약국,37.48035771,126.855167,경기도 광명시 광명로 914-1,226124100,연중무휴,"월~토 09:00~20:00, 일, 법정공휴일 13:00~19:00"
